"Element","h_index","g_index","m_index","TC","NP","PY_start"
"AL-MNASER A","1","1","1.000","2","1","2022"
"ALKANDARI F","1","1","1.000","2","1","2022"
"ARAI T","1","1","1.000","5","1","2022"
"BARRON-RODRIGUEZ J","1","1","1.000","7","1","2022"
"BECKER I","1","1","1.000","7","1","2022"
"BENTZ B","1","1","1.000","1","1","2022"
"BONELL C","1","1","1.000","2","1","2022"
"BUTTS DJ","1","1","1.000","1","1","2022"
"CAI XM","1","1","1.000","1","1","2022"
"CAMPBELL W","1","1","1.000","5","1","2022"
